Date;X
01.01.1947;243.1
01.04.1947;246.3
01.07.1947;250.1
01.10.1947;260.3
01.01.1948;266.2
01.04.1948;272.9
01.07.1948;279.5
01.10.1948;280.7
01.01.1949;275.4
01.04.1949;271.7
01.07.1949;273.3
01.10.1949;271
01.01.1950;281.2
01.04.1950;290.7
01.07.1950;308.5
01.10.1950;320.3
01.01.1951;336.4
01.04.1951;344.5
01.07.1951;351.8
01.10.1951;356.6
01.01.1952;360.2
01.04.1952;361.4
01.07.1952;368.1
01.10.1952;381.2
01.01.1953;388.5
01.04.1953;392.3
01.07.1953;391.7
01.10.1953;386.5
01.01.1954;385.9
01.04.1954;386.7
01.07.1954;391.6
01.10.1954;400.3
01.01.1955;413.8
01.04.1955;422.2
01.07.1955;430.9
01.10.1955;437.8
01.01.1956;440.5
01.04.1956;446.8
01.07.1956;452
01.10.1956;461.3
01.01.1957;470.6
01.04.1957;472.8
01.07.1957;480.3
01.10.1957;475.7
01.01.1958;468.4
01.04.1958;472.8
01.07.1958;486.7
01.10.1958;500.4
01.01.1959;511.1
01.04.1959;524.2
01.07.1959;525.2
01.10.1959;529.3
01.01.1960;543.3
01.04.1960;542.7
01.07.1960;546
01.10.1960;541.1
01.01.1961;545.9
01.04.1961;557.4
01.07.1961;568.2
01.10.1961;581.6
01.01.1962;595.2
01.04.1962;602.6
01.07.1962;609.6
01.10.1962;613.1
01.01.1963;622.7
01.04.1963;631.8
01.07.1963;645
01.10.1963;654.8
01.01.1964;671.1
01.04.1964;680.8
01.07.1964;692.8
01.10.1964;698.4
01.01.1965;719.2
01.04.1965;732.4
01.07.1965;750.2
01.10.1965;773.1
01.01.1966;797.3
01.04.1966;807.2
01.07.1966;820.8
01.10.1966;834.9
01.01.1967;846
01.04.1967;851.1
01.07.1967;866.6
01.10.1967;883.2
01.01.1968;911.1
01.04.1968;936.3
01.07.1968;952.3
01.10.1968;970.1
01.01.1969;995.4
01.04.1969;1011.4
01.07.1969;1032
01.10.1969;1040.7
01.01.1970;1053.5
01.04.1970;1070.1
01.07.1970;1088.5
01.10.1970;1091.5
01.01.1971;1137.8
01.04.1971;1159.4
01.07.1971;1180.3
01.10.1971;1193.6
01.01.1972;1233.8
01.04.1972;1270.1
01.07.1972;1293.8
01.10.1972;1332
01.01.1973;1380.7
01.04.1973;1417.6
01.07.1973;1436.8
01.10.1973;1479.1
01.01.1974;1494.7
01.04.1974;1534.2
01.07.1974;1563.4
01.10.1974;1603
01.01.1975;1619.6
01.04.1975;1656.4
01.07.1975;1713.8
01.10.1975;1765.9
01.01.1976;1824.5
01.04.1976;1856.9
01.07.1976;1890.5
01.10.1976;1938.4
01.01.1977;1992.5
01.04.1977;2060.2
01.07.1977;2122.4
01.10.1977;2168.7
01.01.1978;2208.7
01.04.1978;2336.6
01.07.1978;2398.9
01.10.1978;2482.2
01.01.1979;2531.6
01.04.1979;2595.9
01.07.1979;2670.4
01.10.1979;2730.7
01.01.1980;2796.5
01.04.1980;2799.9
01.07.1980;2860
01.10.1980;2993.5
01.01.1981;3131.8
01.04.1981;3167.3
01.07.1981;3261.2
01.10.1981;3283.5
01.01.1982;3273.8
01.04.1982;3331.3
01.07.1982;3367.1
01.10.1982;3407.8
01.01.1983;3480.3
01.04.1983;3583.8
01.07.1983;3692.3
01.10.1983;3796.1
01.01.1984;3912.8
01.04.1984;4015
01.07.1984;4087.4
01.10.1984;4147.6
01.01.1985;4237
01.04.1985;4302.3
01.07.1985;4394.6
01.10.1985;4453.1
01.01.1986;4516.3
01.04.1986;4555.2
01.07.1986;4619.6
01.10.1986;4669.4
01.01.1987;4736.2
01.04.1987;4821.5
01.07.1987;4900.5
01.10.1987;5022.7
01.01.1988;5090.6
01.04.1988;5207.7
01.07.1988;5299.5
01.10.1988;5412.7
01.01.1989;5527.4
01.04.1989;5628.4
01.07.1989;5711.6
01.10.1989;5763.4
01.01.1990;5890.8
01.04.1990;5974.7
01.07.1990;6029.5
01.10.1990;6023.3
01.01.1991;6054.9
01.04.1991;6143.6
01.07.1991;6218.4
01.10.1991;6279.3
01.01.1992;6380.8
01.04.1992;6492.3
01.07.1992;6586.5
01.10.1992;6697.6
01.01.1993;6748.2
01.04.1993;6829.6
01.07.1993;6904.2
01.10.1993;7032.8
01.01.1994;7136.3
01.04.1994;7269.8
01.07.1994;7352.3
01.10.1994;7476.7
01.01.1995;7545.3
01.04.1995;7604.9
01.07.1995;7706.5
01.10.1995;7799.5
01.01.1996;7893.1
01.04.1996;8061.5
01.07.1996;8159
01.10.1996;8287.1
01.01.1997;8402.1
01.04.1997;8551.9
01.07.1997;8691.8
01.10.1997;8788.3
01.01.1998;8889.7
01.04.1998;8994.7
01.07.1998;9146.5
01.10.1998;9325.7
01.01.1999;9447.1
01.04.1999;9557
01.07.1999;9712.3
01.10.1999;9926.1
01.01.2000;10031
01.04.2000;10278.3
01.07.2000;10357.4
01.10.2000;10472.3
01.01.2001;10508.1
01.04.2001;10638.4
01.07.2001;10639.5
01.10.2001;10701.3
01.01.2002;10834.4
01.04.2002;10934.8
01.07.2002;11037.1
01.10.2002;11103.8
01.01.2003;11230.1
01.04.2003;11370.7
01.07.2003;11625.1
01.10.2003;11816.8
01.01.2004;11988.4
01.04.2004;12181.4
01.07.2004;12367.7
01.10.2004;12562.2
01.01.2005;12813.7
01.04.2005;12974.1
01.07.2005;13205.4
01.10.2005;13381.6
01.01.2006;13648.9
01.04.2006;13799.8
01.07.2006;13908.5
01.10.2006;14066.4
01.01.2007;14233.2
01.04.2007;14422.3
01.07.2007;14569.7
01.10.2007;14685.3
01.01.2008;14668.4
01.04.2008;14813
01.07.2008;14843
01.10.2008;14549.9
01.01.2009;14383.9
01.04.2009;14340.4
01.07.2009;14384.1
01.10.2009;14566.5
01.01.2010;14681.1
01.04.2010;14888.6
01.07.2010;15057.7
01.10.2010;15230.2
01.01.2011;15238.4
01.04.2011;15460.9
01.07.2011;15587.1
01.10.2011;15785.3
01.01.2012;15973.9
01.04.2012;16121.9
01.07.2012;16227.9
01.10.2012;16297.3
01.01.2013;16440.7
01.04.2013;16526.8
01.07.2013;16727.5
01.10.2013;16957.6
01.01.2014;16984.3
01.04.2014;17270
01.07.2014;17522.1
01.10.2014;17615.9
01.01.2015;17649.3
01.04.2015;17913.7
01.07.2015;18060.2
