Date;X
01.01.1947;12.566
01.04.1947;12.745
01.07.1947;12.957
01.10.1947;13.276
01.01.1948;13.379
01.04.1948;13.497
01.07.1948;13.747
01.10.1948;13.789
01.01.1949;13.717
01.04.1949;13.579
01.07.1949;13.509
01.10.1949;13.518
01.01.1950;13.49
01.04.1950;13.538
01.07.1950;13.832
01.10.1950;14.09
01.01.1951;14.596
01.04.1951;14.692
01.07.1951;14.701
01.10.1951;14.869
01.01.1952;14.863
01.04.1952;14.882
01.07.1952;15.048
01.10.1952;15.091
01.01.1953;15.096
01.04.1953;15.125
01.07.1953;15.188
01.10.1953;15.219
01.01.1954;15.266
01.04.1954;15.281
01.07.1954;15.3
01.10.1954;15.343
01.01.1955;15.417
01.04.1955;15.481
01.07.1955;15.59
01.10.1955;15.743
01.01.1956;15.902
01.04.1956;15.997
01.07.1956;16.197
01.10.1956;16.264
01.01.1957;16.485
01.04.1957;16.601
01.07.1957;16.701
01.10.1957;16.711
01.01.1958;16.892
01.04.1958;16.94
01.07.1958;17.043
01.10.1958;17.123
01.01.1959;17.169
01.04.1959;17.194
01.07.1959;17.258
01.10.1959;17.326
01.01.1960;17.397
01.04.1960;17.443
01.07.1960;17.506
01.10.1960;17.56
01.01.1961;17.598
01.04.1961;17.641
01.07.1961;17.687
01.10.1961;17.745
01.01.1962;17.837
01.04.1962;17.866
01.07.1962;17.903
01.10.1962;17.938
01.01.1963;18.017
01.04.1963;18.047
01.07.1963;18.069
01.10.1963;18.216
01.01.1964;18.274
01.04.1964;18.318
01.07.1964;18.392
01.10.1964;18.476
01.01.1965;18.569
01.04.1965;18.652
01.07.1965;18.726
01.10.1965;18.853
01.01.1966;18.975
01.04.1966;19.131
01.07.1966;19.317
01.10.1966;19.481
01.01.1967;19.562
01.04.1967;19.661
01.07.1967;19.849
01.10.1967;20.067
01.01.1968;20.29
01.04.1968;20.504
01.07.1968;20.706
01.10.1968;20.999
01.01.1969;21.217
01.04.1969;21.488
01.07.1969;21.79
01.10.1969;22.071
01.01.1970;22.382
01.04.1970;22.694
01.07.1970;22.88
01.10.1970;23.182
01.01.1971;23.536
01.04.1971;23.846
01.07.1971;24.088
01.10.1971;24.288
01.01.1972;24.664
01.04.1972;24.815
01.07.1972;25.048
01.10.1972;25.366
01.01.1973;25.661
01.04.1973;26.052
01.07.1973;26.549
01.10.1973;27.077
01.01.1974;27.592
01.04.1974;28.248
01.07.1974;29.067
01.10.1974;29.923
01.01.1975;30.601
01.04.1975;31.059
01.07.1975;31.612
01.10.1975;32.139
01.01.1976;32.473
01.04.1976;32.803
01.07.1976;33.226
01.10.1976;33.815
01.01.1977;34.359
01.04.1977;34.841
01.07.1977;35.27
01.10.1977;36.036
01.01.1978;36.573
01.04.1978;37.242
01.07.1978;37.865
01.10.1978;38.661
01.01.1979;39.352
01.04.1979;40.304
01.07.1979;41.165
01.10.1979;41.986
01.01.1980;42.859
01.04.1980;43.8
01.07.1980;44.808
01.10.1980;46.046
01.01.1981;47.196
01.04.1981;48.081
01.07.1981;48.946
01.10.1981;49.863
01.01.1982;50.561
01.04.1982;51.17
01.07.1982;51.907
01.10.1982;52.483
01.01.1983;52.907
01.04.1983;53.265
01.07.1983;53.823
01.10.1983;54.219
01.01.1984;54.796
01.04.1984;55.257
01.07.1984;55.705
01.10.1984;56.079
01.01.1985;56.724
01.04.1985;57.075
01.07.1985;57.406
01.10.1985;57.738
01.01.1986;58.02
01.04.1986;58.252
01.07.1986;58.487
01.10.1986;58.813
01.01.1987;59.24
01.04.1987;59.637
01.07.1987;60.07
01.10.1987;60.567
01.01.1988;61.043
01.04.1988;61.633
01.07.1988;62.359
01.10.1988;62.859
01.01.1989;63.55
01.04.1989;64.207
01.07.1989;64.672
01.10.1989;65.122
01.01.1990;65.841
01.04.1990;66.52
01.07.1990;67.114
01.10.1990;67.622
01.01.1991;68.296
01.04.1991;68.764
01.07.1991;69.269
01.10.1991;69.643
01.01.1992;69.942
01.04.1992;70.388
01.07.1992;70.723
01.10.1992;71.201
01.01.1993;71.606
01.04.1993;72.041
01.07.1993;72.475
01.10.1993;72.853
01.01.1994;73.206
01.04.1994;73.571
01.07.1994;73.969
01.10.1994;74.376
01.01.1995;74.803
01.04.1995;75.132
01.07.1995;75.489
01.10.1995;75.861
01.01.1996;76.272
01.04.1996;76.562
01.07.1996;76.778
01.10.1996;77.168
01.01.1997;77.647
01.04.1997;77.857
01.07.1997;78.135
01.10.1997;78.395
01.01.1998;78.523
01.04.1998;78.687
01.07.1998;78.981
01.10.1998;79.228
01.01.1999;79.624
01.04.1999;79.891
01.07.1999;80.18
01.10.1999;80.547
01.01.2000;81.163
01.04.2000;81.623
01.07.2000;82.152
01.10.2000;82.593
01.01.2001;83.112
01.04.2001;83.699
01.07.2001;83.973
01.10.2001;84.227
01.01.2002;84.497
01.04.2002;84.812
01.07.2002;85.19
01.10.2002;85.651
01.01.2003;86.179
01.04.2003;86.455
01.07.2003;86.934
01.10.2003;87.346
01.01.2004;88.108
01.04.2004;88.875
01.07.2004;89.422
01.10.2004;90.049
01.01.2005;90.883
01.04.2005;91.543
01.07.2005;92.399
01.10.2005;93.1
01.01.2006;93.832
01.04.2006;94.587
01.07.2006;95.247
01.10.2006;95.58
01.01.2007;96.654
01.04.2007;97.194
01.07.2007;97.531
01.10.2007;97.956
01.01.2008;98.516
01.04.2008;98.995
01.07.2008;99.673
01.10.2008;99.815
01.01.2009;100.062
01.04.2009;99.895
01.07.2009;99.873
01.10.2009;100.169
01.01.2010;100.522
01.04.2010;100.968
01.07.2010;101.429
01.10.2010;101.949
01.01.2011;102.399
01.04.2011;103.145
01.07.2011;103.768
01.10.2011;103.917
01.01.2012;104.466
01.04.2012;104.943
01.07.2012;105.508
01.10.2012;105.935
01.01.2013;106.363
01.04.2013;106.623
01.07.2013;107.128
01.10.2013;107.589
01.01.2014;108.009
01.04.2014;108.606
01.07.2014;109.044
01.10.2014;109.067
01.01.2015;109.099
01.04.2015;109.674
01.07.2015;110.029
