Date;X
01.01.1947;40.1
01.04.1947;40.3
01.07.1947;39.8
01.10.1947;40
01.01.1948;41.2
01.04.1948;43.1
01.07.1948;44.8
01.10.1948;46.8
01.01.1949;48.8
01.04.1949;50.6
01.07.1949;50.6
01.10.1949;50.1
01.01.1950;49.2
01.04.1950;49.9
01.07.1950;50
01.10.1950;53.9
01.01.1951;62.3
01.04.1951;70
01.07.1951;78.3
01.10.1951;83.6
01.01.1952;85.3
01.04.1952;89.2
01.07.1952;91.2
01.10.1952;93.7
01.01.1953;96
01.04.1953;98.2
01.07.1953;96.9
01.10.1953;97
01.01.1954;95.1
01.04.1954;92.8
01.07.1954;91.4
01.10.1954;91.6
01.01.1955;92.2
01.04.1955;92.8
01.07.1955;94.4
01.10.1955;93.6
01.01.1956;95.2
01.04.1956;98.6
01.07.1956;98.6
01.10.1956;101.7
01.01.1957;105.7
01.04.1957;106.2
01.07.1957;107.8
01.10.1957;110.4
01.01.1958;110.2
01.04.1958;114
01.07.1958;115.5
01.10.1958;118.4
01.01.1959;117.6
01.04.1959;119
01.07.1959;119.9
01.10.1959;119
01.01.1960;117.4
01.04.1960;118.9
01.07.1960;122.9
01.10.1960;124.9
01.01.1961;126.8
01.04.1961;127.9
01.07.1961;130.6
01.10.1961;134.2
01.01.1962;137.8
01.04.1962;139.1
01.07.1962;142.7
01.10.1962;144.2
01.01.1963;144.4
01.04.1963;144.8
01.07.1963;150.6
01.10.1963;151.7
01.01.1964;153.3
01.04.1964;155.1
01.07.1964;156.8
01.10.1964;156.9
01.01.1965;157.8
01.04.1965;160.6
01.07.1965;167.6
01.10.1965;173.5
01.01.1966;177.9
01.04.1966;182.6
01.07.1966;190.4
01.10.1966;194.7
01.01.1967;203.6
01.04.1967;204.8
01.07.1967;209.4
01.10.1967;214.4
01.01.1968;220.9
01.04.1968;224.8
01.07.1968;228.6
01.10.1968;232.7
01.01.1969;235
01.04.1969;238.2
01.07.1969;244
01.10.1969;244.3
01.01.1970;249.4
01.04.1970;250.7
01.07.1970;256.2
01.10.1970;260.4
01.01.1971;263.7
01.04.1971;268
01.07.1971;271.7
01.10.1971;274
01.01.1972;284.3
01.04.1972;289
01.07.1972;286.3
01.10.1972;293.5
01.01.1973;301.3
01.04.1973;304.9
01.07.1973;305.6
01.10.1973;313.7
01.01.1974;326.1
01.04.1974;337.3
01.07.1974;348.3
01.10.1974;360.8
01.01.1975;371.7
01.04.1975;375.8
01.07.1975;387
01.10.1975;397.3
01.01.1976;402.9
01.04.1976;403.2
01.07.1976;404.9
01.10.1976;412.3
01.01.1977;422.7
01.04.1977;433.1
01.07.1977;439.1
01.10.1977;448.1
01.01.1978;454.8
01.04.1978;473.3
01.07.1978;484
01.10.1978;497.4
01.01.1979;502.9
01.04.1979;517.3
01.07.1979;531.8
01.10.1979;550.2
01.01.1980;571.2
01.04.1980;586.9
01.07.1980;591.8
01.10.1980;613.4
01.01.1981;636
01.04.1981;649
01.07.1981;655.2
01.10.1981;678.8
01.01.1982;687.4
01.04.1982;701
01.07.1982;714.5
01.10.1982;737.2
01.01.1983;748.8
01.04.1983;761
01.07.1983;780.9
01.10.1983;772.3
01.01.1984;794.2
01.04.1984;819.2
01.07.1984;832.7
01.10.1984;854.7
01.01.1985;874.5
01.04.1985;898.5
01.07.1985;924.6
01.10.1985;936.1
