Date;X
01.01.1959;138.9
01.02.1959;139.4
01.03.1959;139.7
01.04.1959;139.7
01.05.1959;140.7
01.06.1959;141.2
01.07.1959;141.7
01.08.1959;141.9
01.09.1959;141
01.10.1959;140.5
01.11.1959;140.4
01.12.1959;139.9
01.01.1960;140
01.02.1960;139.9
01.03.1960;139.8
01.04.1960;139.6
01.05.1960;139.6
01.06.1960;139.6
01.07.1960;140.2
01.08.1960;141.3
01.09.1960;141.2
01.10.1960;140.9
01.11.1960;140.9
01.12.1960;140.7
01.01.1961;141.1
01.02.1961;141.6
01.03.1961;141.9
01.04.1961;142.1
01.05.1961;142.7
01.06.1961;142.9
01.07.1961;142.9
01.08.1961;143.5
01.09.1961;143.8
01.10.1961;144.1
01.11.1961;144.8
01.12.1961;145.2
01.01.1962;145.2
01.02.1962;145.7
01.03.1962;146
01.04.1962;146.4
01.05.1962;146.8
01.06.1962;146.6
01.07.1962;146.5
01.08.1962;146.6
01.09.1962;146.3
01.10.1962;146.7
01.11.1962;147.3
01.12.1962;147.8
01.01.1963;148.3
01.02.1963;148.9
01.03.1963;149.2
01.04.1963;149.7
01.05.1963;150.4
01.06.1963;150.4
01.07.1963;151.3
01.08.1963;151.8
01.09.1963;152
01.10.1963;152.6
01.11.1963;153.6
01.12.1963;153.3
01.01.1964;153.7
01.02.1964;154.3
01.03.1964;154.5
01.04.1964;154.8
01.05.1964;155.3
01.06.1964;155.6
01.07.1964;156.8
01.08.1964;157.8
01.09.1964;158.7
01.10.1964;159.2
01.11.1964;160
01.12.1964;160.3
01.01.1965;160.7
01.02.1965;160.9
01.03.1965;161.5
01.04.1965;162
01.05.1965;161.7
01.06.1965;162.2
01.07.1965;163
01.08.1965;163.7
01.09.1965;164.8
01.10.1965;166
01.11.1965;166.7
01.12.1965;167.8
01.01.1966;169.1
01.02.1966;169.6
01.03.1966;170.5
01.04.1966;171.8
01.05.1966;171.3
01.06.1966;171.6
01.07.1966;170.3
01.08.1966;170.8
01.09.1966;172
01.10.1966;171.2
01.11.1966;171.4
01.12.1966;172
01.01.1967;171.9
01.02.1967;173
01.03.1967;174.8
01.04.1967;174.2
01.05.1967;175.7
01.06.1967;177
01.07.1967;178.1
01.08.1967;179.7
01.09.1967;180.7
01.10.1967;181.6
01.11.1967;182.4
01.12.1967;183.3
01.01.1968;184.3
01.02.1968;184.7
01.03.1968;185.5
01.04.1968;186.6
01.05.1968;188
01.06.1968;189.4
01.07.1968;190.5
01.08.1968;191.8
01.09.1968;192.7
01.10.1968;194
01.11.1968;196
01.12.1968;197.4
01.01.1969;198.7
01.02.1969;199.3
01.03.1969;200
01.04.1969;200.7
01.05.1969;200.8
01.06.1969;201.3
01.07.1969;201.7
01.08.1969;201.7
01.09.1969;202.1
01.10.1969;202.9
01.11.1969;203.6
01.12.1969;203.9
01.01.1970;206.2
01.02.1970;205
01.03.1970;205.7
01.04.1970;206.7
01.05.1970;207.2
01.06.1970;207.6
01.07.1970;208
01.08.1970;209.9
01.09.1970;211.8
01.10.1970;212.9
01.11.1970;213.7
01.12.1970;214.4
01.01.1971;215.5
01.02.1971;217.4
01.03.1971;218.8
01.04.1971;220
01.05.1971;222
01.06.1971;223.5
01.07.1971;224.9
01.08.1971;225.6
01.09.1971;226.5
01.10.1971;227.2
01.11.1971;227.8
