Date;X
01.01.1947;48.288
01.04.1947;48.292
01.07.1947;48.423
01.10.1947;48.895
01.01.1948;49.207
01.04.1948;49.18
01.07.1948;49.53
01.10.1948;49.072
01.01.1949;48.245
01.04.1949;47.438
01.07.1949;46.94
01.10.1949;46.752
01.01.1950;47.115
01.04.1950;48.278
01.07.1950;49.8
01.10.1950;50.259
01.01.1951;51.104
01.04.1951;51.515
01.07.1951;51.006
01.10.1951;51.03
01.01.1952;51.359
01.04.1952;51.145
01.07.1952;51.513
01.10.1952;52.892
01.01.1953;53.441
01.04.1953;53.534
01.07.1953;53
01.10.1953;52.166
01.01.1954;51.465
01.04.1954;51.077
01.07.1954;50.878
01.10.1954;51.515
01.01.1955;52.346
01.04.1955;53.027
01.07.1955;53.578
01.10.1955;54.228
01.01.1956;54.556
01.04.1956;54.675
01.07.1956;54.456
01.10.1956;54.758
01.01.1957;54.807
01.04.1957;54.69
01.07.1957;54.426
01.10.1957;53.298
01.01.1958;52.092
01.04.1958;51.345
01.07.1958;51.956
01.10.1958;52.732
01.01.1959;53.752
01.04.1959;54.781
01.07.1959;54.619
01.10.1959;54.627
01.01.1960;54.965
01.04.1960;55.062
01.07.1960;54.75
01.10.1960;54.242
01.01.1961;53.937
01.04.1961;53.811
01.07.1961;54.127
01.10.1961;54.815
01.01.1962;55.017
01.04.1962;55.672
01.07.1962;55.556
01.10.1962;55.203
01.01.1963;55.539
01.04.1963;55.89
01.07.1963;56.041
01.10.1963;56.476
01.01.1964;57.525
01.04.1964;57.775
01.07.1964;58.145
01.10.1964;58.71
01.01.1965;59.627
01.04.1965;60.218
01.07.1965;60.36
01.10.1965;60.932
01.01.1966;61.812
01.04.1966;62.418
01.07.1966;62.71
01.10.1966;62.541
01.01.1967;62.471
01.04.1967;62.088
01.07.1967;62.292
01.10.1967;62.576
01.01.1968;62.687
01.04.1968;63.288
01.07.1968;63.731
01.10.1968;64.124
01.01.1969;64.725
01.04.1969;65.324
01.07.1969;65.637
01.10.1969;65.438
01.01.1970;65.18
01.04.1970;64.321
01.07.1970;63.994
01.10.1970;63.506
01.01.1971;63.805
01.04.1971;64.011
01.07.1971;64.012
01.10.1971;64.697
01.01.1972;65.485
01.04.1972;65.954
01.07.1972;66.325
01.10.1972;67.018
01.01.1973;68.031
01.04.1973;68.742
01.07.1973;69.207
01.10.1973;69.55
01.01.1974;69.254
01.04.1974;69.435
01.07.1974;69.194
01.10.1974;68.05
01.01.1975;65.915
01.04.1975;65.307
01.07.1975;65.905
01.10.1975;67.036
01.01.1976;68.145
01.04.1976;68.169
01.07.1976;68.44
01.10.1976;68.806
01.01.1977;69.539
01.04.1977;70.866
01.07.1977;71.624
01.10.1977;72.324
01.01.1978;72.658
01.04.1978;74.783
01.07.1978;75.412
01.10.1978;76.326
01.01.1979;76.869
01.04.1979;77.18
01.07.1979;77.828
01.10.1979;77.98
01.01.1980;77.794
01.04.1980;76.438
01.07.1980;76.088
01.10.1980;77.027
01.01.1981;77.452
01.04.1981;77.479
01.07.1981;77.453
01.10.1981;77.155
01.01.1982;75.913
01.04.1982;76.208
01.07.1982;75.668
01.10.1982;74.984
01.01.1983;75.423
01.04.1983;76.266
01.07.1983;77.767
01.10.1983;79.222
01.01.1984;80.742
01.04.1984;81.814
01.07.1984;82.19
01.10.1984;82.732
01.01.1985;83.409
01.04.1985;83.95
01.07.1985;84.178
01.10.1985;84.576
01.01.1986;84.456
01.04.1986;84.258
01.07.1986;84.684
01.10.1986;85.326
01.01.1987;86.349
01.04.1987;86.842
01.07.1987;87.45
01.10.1987;88.351
01.01.1988;88.43
01.04.1988;89.694
01.07.1988;89.941
01.10.1988;90.939
01.01.1989;91.832
01.04.1989;92.199
01.07.1989;92.408
01.10.1989;92.421
01.01.1990;92.643
01.04.1990;92.129
01.07.1990;91.543
01.10.1990;91.078
01.01.1991;90.126
01.04.1991;89.573
01.07.1991;89.472
01.10.1991;89.363
01.01.1992;88.902
01.04.1992;89.292
01.07.1992;89.469
01.10.1992;90.071
01.01.1993;90.856
01.04.1993;91.913
01.07.1993;92.385
01.10.1993;93.166
01.01.1994;93.541
01.04.1994;95.124
01.07.1994;96.285
01.10.1994;96.837
01.01.1995;97.512
01.04.1995;97.502
01.07.1995;98.603
01.10.1995;98.681
01.01.1996;98.52
01.04.1996;99.311
01.07.1996;100.104
01.10.1996;101.353
01.01.1997;102.439
01.04.1997;103.055
01.07.1997;103.684
01.10.1997;104.168
01.01.1998;104.75
01.04.1998;105.234
01.07.1998;105.407
01.10.1998;106.88
01.01.1999;106.902
01.04.1999;107.654
01.07.1999;108.365
01.10.1999;108.732
01.01.2000;109.152
01.04.2000;109.267
01.07.2000;109.255
01.10.2000;108.803
01.01.2001;108.619
01.04.2001;107.518
01.07.2001;106.352
01.10.2001;105.148
01.01.2002;104.208
01.04.2002;104.491
01.07.2002;104.167
01.10.2002;104.271
01.01.2003;103.728
01.04.2003;103.44
01.07.2003;103.587
01.10.2003;104.123
01.01.2004;104.574
01.04.2004;104.634
01.07.2004;105.316
01.10.2004;105.883
01.01.2005;106.068
01.04.2005;106.749
01.07.2005;106.98
01.10.2005;107.663
01.01.2006;108.638
01.04.2006;108.939
01.07.2006;109.566
01.10.2006;109.905
01.01.2007;109.93
01.04.2007;110.324
01.07.2007;109.992
01.10.2007;109.73
01.01.2008;109.406
01.04.2008;108.887
01.07.2008;107.719
01.10.2008;105.029
01.01.2009;102.257
01.04.2009;100.037
01.07.2009;98.821
01.10.2009;98.888
01.01.2010;98.918
01.04.2010;99.694
01.07.2010;100.194
01.10.2010;100.728
01.01.2011;100.952
01.04.2011;101.676
01.07.2011;102.177
01.10.2011;102.865
01.01.2012;103.687
01.04.2012;103.749
01.07.2012;104.225
01.10.2012;104.857
01.01.2013;105.328
01.04.2013;105.611
01.07.2013;106.163
01.10.2013;106.599
01.01.2014;107.219
01.04.2014;107.882
01.07.2014;108.507
01.10.2014;109.806
01.01.2015;110.244
01.04.2015;110.66
01.07.2015;110.571
