Date;X
01.01.1947;156.3
01.04.1947;160.2
01.07.1947;163.7
01.10.1947;167.8
01.01.1948;170.5
01.04.1948;174.3
01.07.1948;177.2
01.10.1948;178.1
01.01.1949;177
01.04.1949;178.6
01.07.1949;177.9
01.10.1949;180.4
01.01.1950;183.1
01.04.1950;187
01.07.1950;200.7
01.10.1950;198.1
01.01.1951;209.4
01.04.1951;205.1
01.07.1951;207.8
01.10.1951;211.7
01.01.1952;213.1
01.04.1952;217.2
01.07.1952;219.7
01.10.1952;227.9
01.01.1953;231.5
01.04.1953;233.2
01.07.1953;233.9
01.10.1953;233.4
01.01.1954;235.4
01.04.1954;238.2
01.07.1954;240.6
01.10.1954;245.4
01.01.1955;251.8
01.04.1955;256.8
01.07.1955;261
01.10.1955;265.1
01.01.1956;266.6
01.04.1956;269.3
01.07.1956;272.5
01.10.1956;277.9
01.01.1957;282.3
01.04.1957;284.6
01.07.1957;289.2
01.10.1957;290.8
01.01.1958;290.3
01.04.1958;293.2
01.07.1958;298.3
01.10.1958;302.2
01.01.1959;309.9
01.04.1959;315.9
01.07.1959;321.1
01.10.1959;323.2
01.01.1960;326.7
01.04.1960;332.6
01.07.1960;332.5
01.10.1960;334.5
01.01.1961;335
01.04.1961;339.9
01.07.1961;342.8
01.10.1961;350.1
01.01.1962;355.4
01.04.1962;361
01.07.1962;364.9
01.10.1962;371.1
01.01.1963;374.7
01.04.1963;378.9
01.07.1963;385.8
01.10.1963;390.5
01.01.1964;400.1
01.04.1964;408.1
01.07.1964;417
01.10.1964;419.6
01.01.1965;430.3
01.04.1965;437.2
01.07.1965;446.4
01.10.1965;460.4
01.01.1966;470.8
01.04.1966;475.9
01.07.1966;485
01.10.1966;490.8
01.01.1967;495.1
01.04.1967;504.2
01.07.1967;511.4
01.10.1967;518.9
01.01.1968;536.9
01.04.1968;550.6
01.07.1968;566.7
01.10.1968;575.6
01.01.1969;587.8
01.04.1969;599.2
01.07.1969;609.5
01.10.1969;621.5
01.01.1970;632.6
01.04.1970;642.5
01.07.1970;654.5
01.10.1970;661.2
01.01.1971;680.2
01.04.1971;694.3
01.07.1971;706.7
01.10.1971;722.9
01.01.1972;740.1
01.04.1972;758.6
01.07.1972;777.1
01.10.1972;801.9
01.01.1973;826.5
01.04.1973;842
01.07.1973;860.5
01.10.1973;875.6
01.01.1974;893.8
01.04.1974;922.3
01.07.1974;951.1
01.10.1974;960.9
01.01.1975;987.1
01.04.1975;1015.8
01.07.1975;1049.6
01.10.1975;1078.5
01.01.1976;1112.3
01.04.1976;1132
01.07.1976;1161.3
01.10.1976;1195.1
01.01.1977;1230.6
01.04.1977;1258.5
01.07.1977;1289.7
01.10.1977;1327.9
01.01.1978;1357.8
01.04.1978;1415.3
01.07.1978;1446.2
01.10.1978;1485.4
01.01.1979;1521
01.04.1979;1561.5
01.07.1979;1616
01.10.1979;1659.5
01.01.1980;1706.5
01.04.1980;1708.9
01.07.1980;1767.7
01.10.1980;1835.4
01.01.1981;1890.7
01.04.1981;1921.9
01.07.1981;1961.2
01.10.1981;1976.1
01.01.1982;2014.4
01.04.1982;2041.1
01.07.1982;2089.2
01.10.1982;2150.9
01.01.1983;2190.6
01.04.1983;2254.5
01.07.1983;2324.3
01.10.1983;2376.7
01.01.1984;2422.8
01.04.1984;2481.2
01.07.1984;2519.7
01.10.1984;2568.9
