Date;X
01.01.1947;35.9
01.04.1947;34.5
01.07.1947;34.9
01.10.1947;43.2
01.01.1948;47.2
01.04.1948;50.3
01.07.1948;52.5
01.10.1948;51.3
01.01.1949;43.1
01.04.1949;36.2
01.07.1949;39.5
01.10.1949;37.5
01.01.1950;46.7
01.04.1950;52.3
01.07.1950;58.6
01.10.1950;68.4
01.01.1951;64.6
01.04.1951;67.4
01.07.1951;62
01.10.1951;57.1
01.01.1952;58.1
01.04.1952;53
01.07.1952;57.2
01.10.1952;60.7
01.01.1953;61.7
01.04.1953;62.1
01.07.1953;61.4
01.10.1953;56.4
01.01.1954;55.7
01.04.1954;55.4
01.07.1954;59
01.10.1954;62.1
01.01.1955;68.7
01.04.1955;72.7
01.07.1955;74.7
01.10.1955;78.9
01.01.1956;78.3
01.04.1956;77
01.07.1956;78.3
01.10.1956;77.1
01.01.1957;77.7
01.04.1957;77.9
01.07.1957;79.3
01.10.1957;71
01.01.1958;66.7
01.04.1958;65.1
01.07.1958;72
01.10.1958;80
01.01.1959;83.2
01.04.1959;89.4
01.07.1959;83.6
01.10.1959;86.5
01.01.1960;96.5
01.04.1960;87.1
01.07.1960;86.4
01.10.1960;76
01.01.1961;78.4
01.04.1961;84.1
01.07.1961;90.9
01.10.1961;92.9
01.01.1962;98.1
01.04.1962;96.7
01.07.1962;98.2
01.10.1962;95
01.01.1963;99.7
01.04.1963;101.6
01.07.1963;104.6
01.10.1963;107.2
01.01.1964;110.5
01.04.1964;110.5
01.07.1964;112.6
01.10.1964;115
01.01.1965;126.5
01.04.1965;127
01.07.1965;131.2
01.10.1965;133.8
01.01.1966;144.2
01.04.1966;143.5
01.07.1966;143.2
01.10.1966;145.9
01.01.1967;142.8
01.04.1967;137.5
01.07.1967;142.8
01.10.1967;147.7
01.01.1968;152.3
01.04.1968;158.9
01.07.1968;155.7
01.10.1968;160.8
01.01.1969;172.4
01.04.1969;172.7
01.07.1969;177.6
01.10.1969;171.6
01.01.1970;168.1
01.04.1970;171.5
01.07.1970;173.9
01.10.1970;166.8
01.01.1971;189.5
01.04.1971;197.3
01.07.1971;202.1
01.10.1971;198.4
01.01.1972;213
01.04.1972;226.8
01.07.1972;233.1
01.10.1972;239.7
01.01.1973;254.3
01.04.1973;268.2
01.07.1973;264.3
01.10.1973;280.9
01.01.1974;268.4
01.04.1974;277.4
01.07.1974;271
01.10.1974;281.3
01.01.1975;244.3
01.04.1975;243.3
01.07.1975;265.2
01.10.1975;276.2
01.01.1976;304.6
01.04.1976;322.3
01.07.1976;328.3
01.10.1976;337.6
01.01.1977;360.3
01.04.1977;389.7
01.07.1977;414.1
01.10.1977;422.3
01.01.1978;434.8
01.04.1978;470.6
01.07.1978;492.4
01.10.1978;515.8
01.01.1979;525.8
01.04.1979;539.3
01.07.1979;545.6
01.10.1979;547.9
01.01.1980;554.6
01.04.1980;519.3
01.07.1980;495.1
01.10.1980;551.5
01.01.1981;619.4
01.04.1981;609.8
01.07.1981;652.3
01.10.1981;643.4
01.01.1982;588.3
01.04.1982;593.6
01.07.1982;593
01.10.1982;549.2
01.01.1983;565.5
01.04.1983;613.8
01.07.1983;652.3
01.10.1983;718.5
01.01.1984;790.9
01.04.1984;818.9
01.07.1984;838.9
01.10.1984;831.7
01.01.1985;809.9
01.04.1985;827
01.07.1985;822.2
01.10.1985;859.5
01.01.1986;863.5
01.04.1986;855.2
01.07.1986;835.8
01.10.1986;842.1
01.01.1987;871.2
01.04.1987;874.6
01.07.1987;876.5
01.10.1987;946.5
01.01.1988;908.6
01.04.1988;934.5
01.07.1988;942
01.10.1988;962.8
01.01.1989;1005.4
01.04.1989;1001
01.07.1989;996.5
01.10.1989;995.9
01.01.1990;1010.8
01.04.1990;1014.8
01.07.1990;1000.7
01.10.1990;947.6
01.01.1991;924.6
01.04.1991;926.6
01.07.1991;947.5
01.10.1991;978.8
01.01.1992;956.8
01.04.1992;1013.1
01.07.1992;1024.2
01.10.1992;1058
01.01.1993;1083.9
01.04.1993;1094.5
01.07.1993;1095.9
01.10.1993;1153
01.01.1994;1202.1
01.04.1994;1265.1
01.07.1994;1251.6
01.10.1994;1307.2
01.01.1995;1327.3
01.04.1995;1303.8
01.07.1995;1303.2
01.10.1995;1335.6
01.01.1996;1355.2
01.04.1996;1418.6
01.07.1996;1474.4
01.10.1996;1480
01.01.1997;1522
01.04.1997;1589.9
01.07.1997;1625.3
01.10.1997;1645.3
01.01.1998;1712.3
01.04.1998;1694.8
01.07.1998;1739.8
01.10.1998;1794.4
01.01.1999;1850.6
01.04.1999;1845.8
01.07.1999;1890.9
01.10.1999;1949.4
01.01.2000;1945.9
01.04.2000;2071.8
01.07.2000;2055.8
01.10.2000;2061.6
01.01.2001;1967.5
01.04.2001;1967
01.07.2001;1937.3
01.10.2001;1842.7
01.01.2002;1910
01.04.2002;1925.6
01.07.2002;1927.9
01.10.2002;1936.5
01.01.2003;1960.2
01.04.2003;1970.5
01.07.2003;2048.3
01.10.2003;2132.8
01.01.2004;2155.2
01.04.2004;2259.5
01.07.2004;2311.3
01.10.2004;2380.8
01.01.2005;2475.2
01.04.2005;2469.5
01.07.2005;2527.2
01.10.2005;2636.5
01.01.2006;2699.7
01.04.2006;2697
01.07.2006;2684.4
01.10.2006;2641.6
01.01.2007;2634.2
01.04.2007;2671.9
01.07.2007;2658.2
01.10.2007;2610.6
01.01.2008;2527
01.04.2008;2493.3
01.07.2008;2435.9
01.10.2008;2243.1
01.01.2009;1972.1
01.04.2009;1825.9
01.07.2009;1786.4
01.10.2009;1928
01.01.2010;1989.5
01.04.2010;2092.7
01.07.2010;2164.6
01.10.2010;2156.5
01.01.2011;2123.5
01.04.2011;2212.7
01.07.2011;2228.2
01.10.2011;2395.2
01.01.2012;2460.8
01.04.2012;2534.8
01.07.2012;2529.9
01.10.2012;2521.3
01.01.2013;2578.3
01.04.2013;2620.4
01.07.2013;2711.5
01.10.2013;2749.9
01.01.2014;2751.1
01.04.2014;2841.6
01.07.2014;2910.2
01.10.2014;2937.2
01.01.2015;2995.9
01.04.2015;3025.5
01.07.2015;3030.6
