Date;X
01.04.1953;2.83
01.05.1953;3.05
01.06.1953;3.11
01.07.1953;2.93
01.08.1953;2.95
01.09.1953;2.87
01.10.1953;2.66
01.11.1953;2.68
01.12.1953;2.59
01.01.1954;2.48
01.02.1954;2.47
01.03.1954;2.37
01.04.1954;2.29
01.05.1954;2.37
01.06.1954;2.38
01.07.1954;2.3
01.08.1954;2.36
01.09.1954;2.38
01.10.1954;2.43
01.11.1954;2.48
01.12.1954;2.51
01.01.1955;2.61
01.02.1955;2.65
01.03.1955;2.68
01.04.1955;2.75
01.05.1955;2.76
01.06.1955;2.78
01.07.1955;2.9
01.08.1955;2.97
01.09.1955;2.97
01.10.1955;2.88
01.11.1955;2.89
01.12.1955;2.96
01.01.1956;2.9
01.02.1956;2.84
01.03.1956;2.96
01.04.1956;3.18
01.05.1956;3.07
01.06.1956;3
01.07.1956;3.11
01.08.1956;3.33
01.09.1956;3.38
01.10.1956;3.34
01.11.1956;3.49
01.12.1956;3.59
01.01.1957;3.46
01.02.1957;3.34
01.03.1957;3.41
01.04.1957;3.48
01.05.1957;3.6
01.06.1957;3.8
01.07.1957;3.93
01.08.1957;3.93
01.09.1957;3.92
01.10.1957;3.97
01.11.1957;3.72
01.12.1957;3.21
01.01.1958;3.09
01.02.1958;3.05
01.03.1958;2.98
01.04.1958;2.88
01.05.1958;2.92
01.06.1958;2.97
01.07.1958;3.2
01.08.1958;3.54
01.09.1958;3.76
01.10.1958;3.8
01.11.1958;3.74
01.12.1958;3.86
01.01.1959;4.02
01.02.1959;3.96
01.03.1959;3.99
01.04.1959;4.12
01.05.1959;4.31
01.06.1959;4.34
01.07.1959;4.4
01.08.1959;4.43
01.09.1959;4.68
01.10.1959;4.53
01.11.1959;4.53
01.12.1959;4.69
01.01.1960;4.72
01.02.1960;4.49
01.03.1960;4.25
01.04.1960;4.28
01.05.1960;4.35
01.06.1960;4.15
01.07.1960;3.9
01.08.1960;3.8
01.09.1960;3.8
01.10.1960;3.89
01.11.1960;3.93
01.12.1960;3.84
01.01.1961;3.84
01.02.1961;3.78
01.03.1961;3.74
01.04.1961;3.78
01.05.1961;3.71
01.06.1961;3.88
01.07.1961;3.92
01.08.1961;4.04
01.09.1961;3.98
01.10.1961;3.92
01.11.1961;3.94
01.12.1961;4.06
01.01.1962;4.08
01.02.1962;4.04
01.03.1962;3.93
01.04.1962;3.84
01.05.1962;3.87
01.06.1962;3.91
01.07.1962;4.01
01.08.1962;3.98
01.09.1962;3.98
01.10.1962;3.93
01.11.1962;3.92
01.12.1962;3.86
01.01.1963;3.83
01.02.1963;3.92
01.03.1963;3.93
01.04.1963;3.97
01.05.1963;3.93
01.06.1963;3.99
01.07.1963;4.02
01.08.1963;4
01.09.1963;4.08
01.10.1963;4.11
01.11.1963;4.12
01.12.1963;4.13
01.01.1964;4.17
01.02.1964;4.15
01.03.1964;4.22
01.04.1964;4.23
01.05.1964;4.2
01.06.1964;4.17
01.07.1964;4.19
01.08.1964;4.19
01.09.1964;4.2
01.10.1964;4.19
01.11.1964;4.15
01.12.1964;4.18
01.01.1965;4.19
01.02.1965;4.21
01.03.1965;4.21
01.04.1965;4.2
01.05.1965;4.21
01.06.1965;4.21
01.07.1965;4.2
01.08.1965;4.25
01.09.1965;4.29
01.10.1965;4.35
01.11.1965;4.45
01.12.1965;4.62
01.01.1966;4.61
01.02.1966;4.83
01.03.1966;4.87
